Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter,Roll,Pitch,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z
2025-02-19 17:18:21.352,688,-152,793,-7,9,2,-6,-4,5,341,21,noise,10.850685393050613,40.43364790699271,1336.5670154119953,-295.2880615445106,45.45109996844144
2025-02-19 17:18:21.451,670,-184,677,-31,-11,-19,-4,-3,8,567,22,noise,15.204978641273865,43.68188150830004,1360.6537545623219,-373.6720758798019,-20.86954005774942
2025-02-19 17:18:21.551,666,-140,748,17,-2,1,-5,-4,6,639,24,noise,10.601154863652113,41.19167177851705,1324.580085977565,-278.44025831360227,8.333477010182378
2025-02-19 17:18:21.651,647,-123,722,6,9,6,-5,-3,5,316,21,noise,9.668097411325302,41.457198279999446,1309.0603702827293,-248.8630997600862,-16.8061628193675
2025-02-19 17:18:21.762,594,-56,753,32,18,-13,-3,-3,5,0,18,noise,4.253211052407536,38.19114450313779,1212.286927834362,-114.28967669818897,-30.787974173862494
2025-02-19 17:18:21.871,648,-95,756,-6,6,3,-4,-5,5,0,16,noise,7.162324355683766,40.37965085165362,1295.849392522323,-189.97792020003192,0.17570872395651804
2025-02-19 17:18:21.983,673,-23,735,-4,-5,-28,-5,-4,2,0,16,noise,1.792344273432266,42.46469633031735,1348.1357947049921,-46.072991498090374,-2.3325543954965724
2025-02-19 17:18:22.086,648,-77,760,-7,-8,3,-4,-5,4,0,17,noise,5.785226128391459,40.30757187941958,1294.8905637052965,-153.86816883535158,1.3011907160104101
2025-02-19 17:18:22.192,655,-105,747,-1,5,5,-5,-4,4,0,17,noise,8.001203180138173,40.96793831213679,1310.6366043868816,-210.10205108491996,-0.7260205755733296
2025-02-19 17:18:22.301,656,-105,752,-11,-4,8,-4,-5,4,1,16,noise,7.948685889886195,40.8256787631415,1309.759807614579,-209.641432621236,2.568025417433887
2025-02-19 17:18:22.411,818,-57,734,17,-15,48,-6,-4,5,149,14,noise,4.440487872496925,48.01240483737612,1561.2896783517995,-108.79402404162906,67.03835707796975
2025-02-19 17:18:22.520,642,-119,726,-5,-17,1,-5,-1,3,332,16,noise,9.308680262515638,41.10965529959148,1299.5022245269138,-240.8734652939295,-17.530552969687506
2025-02-19 17:18:22.626,688,-138,747,-27,6,-3,-4,-3,7,203,17,noise,10.466755693782371,42.16688797717523,1359.292355960404,-272.64875744554615,18.14042165345677
