Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter,Roll,Pitch,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z
2025-02-19 14:14:55.119,371,-211,910,4,-30,-6,-12,3,10,0,13,noise,13.054381283895314,21.660796231182587,740.1109258887973,-420.92562092327825,4.6335780086104705
2025-02-19 14:15:01.991,684,-135,718,-1,3,3,-1,0,1,407,51,A,10.648560905341448,43.11396737142954,1367.4517498678983,-269.89179273708515,0.5755023316507959
2025-02-19 14:15:02.085,671,-131,714,-5,0,-3,-2,-1,1,410,49,A,10.396621295855661,42.748649375332114,1349.7834352718787,-263.51956783996434,-8.282224715530674
2025-02-19 14:15:02.192,666,-143,719,1,-3,-1,-1,1,3,405,50,A,11.248620801849642,42.25491199646228,1338.4302642421408,-287.3806723522915,-6.941981967116249
2025-02-19 14:15:02.302,668,-125,716,-4,1,-5,-1,2,3,405,50,A,9.902950595038197,42.58487979713387,1344.6816920642975,-251.62456812580413,-9.30552622460607
2025-02-19 14:15:02.405,685,-135,717,1,-3,2,0,-2,1,399,52,A,10.663072125268394,43.19421497541071,1369.4735001345903,-269.8962372528025,0.55109547955999
2025-02-19 14:15:02.508,676,-111,720,-2,2,-4,-1,1,2,406,52,A,8.764100827877993,42.85905349405647,1356.1971824038287,-222.6891823177884,-4.470371791059847
2025-02-19 14:15:02.623,682,-123,713,1,-2,2,-1,2,2,405,51,A,9.787788938565184,43.30747731691275,1367.9133241968698,-246.70577547832113,-4.091202569454822
2025-02-19 14:15:02.728,687,-116,722,-2,0,-2,0,-1,1,410,53,A,9.127413642107573,43.212567923325125,1371.7069899243747,-231.61282508184493,2.4098300940340778
2025-02-19 14:15:02.836,674,-125,719,0,-2,1,-1,-1,3,409,51,A,9.862443922631984,42.72432483663378,1352.4716156235809,-250.8293055681715,-4.770165628122413
2025-02-19 14:15:02.942,675,-120,720,1,-3,-1,0,0,3,418,53,A,9.462322208025617,42.76092929633306,1353.940806821078,-240.70058787930276,-4.203527275816441
2025-02-19 14:15:03.052,661,-152,708,-3,0,0,-3,-1,0,400,52,A,12.116861929122589,42.390337238832785,1335.1778397193596,-307.0303050489299,-14.114841938436598
2025-02-19 14:15:03.155,683,-109,731,1,0,3,-1,0,1,406,51,A,8.48093320572935,42.74162803258722,1361.693440259538,-217.31271594185887,4.609216940377792
2025-02-19 14:15:03.268,667,-146,711,-1,-2,-3,-1,-1,2,384,47,A,11.604071962602323,42.58118139376596,1343.634164562716,-294.1088276254221,-10.269701655309063
2025-02-19 14:15:03.372,692,-119,724,0,-2,1,-1,-2,1,402,49,A,9.333942903456832,43.324079361905355,1378.124149150312,-236.9895574405883,6.147566495916408
2025-02-19 14:15:03.479,679,-140,721,-1,1,1,0,-1,1,406,49,A,10.988651096493982,42.75278358598639,1357.8364201317477,-279.96627219211297,0.17369821061834045
2025-02-19 14:15:03.588,676,-136,717,1,-1,2,-1,-2,0,409,49,A,10.740227024760015,42.80897650878182,1355.556249111492,-272.7154584011285,-3.7719387765379224
2025-02-19 14:15:03.688,671,-140,712,-1,-2,-4,0,-1,1,397,49,A,11.124108975782233,42.75984560931223,1349.9269202415762,-281.653902881998,-8.411277514161384
2025-02-19 14:15:03.798,659,-131,708,-5,-1,-3,0,-1,2,391,50,A,10.48278310017642,42.46648699056442,1334.1588494481948,-265.21215368393564,-17.360342047529798
2025-02-19 14:15:03.908,677,-121,710,-6,-6,-5,-1,0,1,383,52,A,9.671573154481585,43.227577427280146,1361.8978915457983,-243.4115877061176,-8.282870011103114
2025-02-19 14:15:04.016,717,-107,728,1,8,-4,0,1,1,326,52,A,8.361354484898362,44.257774312714865,1414.8876465331869,-211.1478077811032,19.405569489316463
2025-02-19 14:15:04.121,733,-161,727,-12,-8,0,-1,-3,4,181,46,A,12.487077360002276,44.54966646423418,1434.5272772782926,-315.0871645863644,31.21510152616827
2025-02-19 14:15:04.233,664,-170,708,-28,-18,-9,-3,0,3,530,43,A,13.501854624737595,42.36272163259729,1337.8217835112932,-342.51461324837317,-10.472624587342352
2025-02-19 14:15:04.339,694,-102,663,-40,-19,-22,-3,-1,5,681,39,A,8.74616226255521,45.97385583304927,1413.0227516020077,-207.67769548041036,-23.905020622667507
2025-02-19 14:15:04.449,719,-271,585,-20,-10,-41,-3,-4,7,655,64,A,24.85583005439715,48.11767077153634,1463.517479167478,-551.6178537613165,-20.761787639742238
2025-02-19 14:15:04.554,773,-234,654,-12,-10,-25,-4,-5,8,601,74,A,19.687116198125864,48.0577816605252,1516.8192524452825,-459.1665007402279,24.688497931158054
2025-02-19 14:15:04.663,785,-183,593,-18,-1,-11,-4,-5,8,536,81,A,17.15024352475086,51.67127689131726,1569.465568760324,-365.87541284476333,0.4037168472967778
2025-02-19 14:15:04.769,795,-85,589,-3,-6,-8,-2,-7,7,547,92,A,8.211797801899994,53.18310560752685,1595.5547063820586,-170.59389942449684,-4.115373659160241
2025-02-19 14:15:04.879,838,-115,593,-4,3,-10,-3,-7,10,633,106,A,10.975090821376833,54.21514433416652,1649.2184057871768,-226.32472155790612,18.951653184014503
2025-02-19 14:15:04.978,824,-106,570,-6,0,-4,-3,-8,8,663,119,A,10.53466477765463,54.86950342792176,1641.8435460341939,-211.2080289801269,4.258712087996969
2025-02-19 14:15:05.084,797,61,625,5,0,66,-3,-7,7,1,118,A,-5.574412647192546,51.764828633438384,1582.4771313401595,121.11807404234594,9.036126615307921
2025-02-19 14:15:05.199,894,-148,545,29,46,-52,-2,-6,9,209,113,A,15.192831034383897,57.71948069333302,1739.4434653569106,-287.9615580232917,29.601019441257222
2025-02-19 14:15:05.306,784,-155,567,5,6,-18,-3,-9,7,420,113,A,15.28931492669842,53.13925256947732,1584.095810628554,-313.18220745845133,-11.640720186722092
2025-02-19 14:15:05.412,806,-34,632,3,-27,59,-4,-6,9,1,125,A,3.0793994085001786,51.85911944072707,1592.494566372516,-67.17719014474632,15.294583191774336
2025-02-19 14:15:05.523,611,-338,520,-50,1,-48,-4,-5,9,32,105,A,33.02386755579665,44.57202229399403,1312.805284782075,-726.2327107305094,-77.28109343155302
2025-02-19 14:15:05.629,739,-107,631,73,-34,1,-3,-7,7,357,121,A,9.624215836937102,49.10593907154421,1494.9213331517142,-216.45004417758244,-14.448391364995587
2025-02-19 14:15:05.736,951,11,583,-41,66,40,-3,-6,7,623,87,A,-1.0809241866606887,58.48553884183636,1803.508261264485,20.86076853197617,60.379267805262884
2025-02-19 14:15:05.838,628,-226,647,0,-4,0,-3,-3,5,315,40,A,19.254537201863457,42.50025212156144,1303.5934518884528,-469.1275798197299,-49.03338116533291
2025-02-19 14:15:05.948,782,-152,625,14,-13,-8,-3,-4,5,322,56,A,13.668967860588385,50.561711542514004,1554.3092361990075,-302.1163732765334,7.7451756721487754
2025-02-19 14:15:06.054,738,-156,621,2,1,-2,-2,-4,7,339,60,A,14.101352280256776,49.05484166105559,1493.3371928210727,-315.664772466243,-14.588613471390317
2025-02-19 14:15:06.161,764,-149,618,1,-1,-5,-2,-5,9,229,61,A,13.555328722576307,50.23687295531123,1532.6953099297061,-298.91570835016523,-3.7980386604167506
2025-02-19 14:15:06.268,752,-161,625,1,2,1,-4,-3,7,188,60,A,14.445338286146882,49.362168151237725,1510.841441933171,-323.464723605373,-5.686038840733886
2025-02-19 14:15:06.378,763,-147,634,4,-1,-3,-3,-5,8,132,63,A,13.05400431131658,49.536703300115875,1523.8218417065816,-293.5803548242038,1.8098982411889892
2025-02-19 14:15:06.482,751,-146,619,2,0,-4,-2,-5,7,138,64,A,13.271471085047551,49.74037369763181,1514.1239032874898,-294.3569772036931,-9.992937596479692
2025-02-19 14:15:06.590,770,-133,627,0,-1,-1,-3,-4,6,149,71,A,11.976132444203357,50.225877499667426,1538.5725492155248,-265.75344031904524,1.1623527816440173
2025-02-19 14:15:06.698,752,-140,622,0,-1,0,-1,-5,8,166,72,A,12.68476725458962,49.708040191440425,1514.759084781509,-282.0030211029405,-8.899136614492818
2025-02-19 14:15:06.801,767,-128,611,0,2,2,0,-5,7,181,72,A,11.83193424377558,50.85775518640261,1542.5811919020603,-257.4320633161195,-6.835864735539303
