Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter,Roll,Pitch,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z
2025-02-19 16:13:48.416,634,-71,767,-1,-1,0,0,0,0,635,24,noise,5.288709606982307,39.45705184313695,1269.4996420722664,-142.1679409891655,-1.8142357561961262
2025-02-19 16:13:48.515,640,-65,766,-1,-1,-1,-1,0,-1,633,25,noise,4.850293986460833,39.77796334747369,1279.8141609754355,-129.98112572406762,0.22242608252599894
2025-02-19 16:13:48.621,633,-71,767,-1,-1,0,-1,-1,0,633,25,noise,5.288709606982307,39.41268081017777,1267.9015205097553,-142.21328271120478,-2.304054077381352
2025-02-19 16:13:48.727,637,-69,768,-1,-1,0,-1,0,-2,634,25,noise,5.133883900844793,39.56010153213317,1273.8872809260315,-137.98779024159523,0.13589991963556258
2025-02-19 16:13:48.833,627,-73,767,-1,-1,0,-1,-1,0,633,25,noise,5.436806787700222,39.13845892929057,1258.1965747804252,-146.48859642579112,-5.133609021668235
2025-02-19 16:13:48.944,625,-72,768,-1,-1,-1,0,0,-1,634,25,noise,5.355825042855191,39.01609328291014,1254.538651581512,-144.5228526621902,-5.5770950633619805
2025-02-19 16:13:49.051,631,-72,763,-2,-1,0,-1,-1,-2,635,25,noise,5.390716102714692,39.46602801151689,1266.6205944921107,-144.52723106724562,-5.587184782061058
2025-02-19 16:13:49.158,637,-67,762,-2,-1,-1,-1,0,-2,636,25,noise,5.024895198713984,39.785678146859134,1276.917636656739,-134.3068785808501,-3.490171322504125
2025-02-19 16:13:49.264,618,-80,760,2,-2,-2,0,-1,-1,637,26,noise,6.009005957494525,38.96212030949652,1246.8064626818712,-161.39889484554965,-13.289501032721773
2025-02-19 16:13:49.370,645,-69,764,-1,-2,0,-2,-1,0,638,26,noise,5.160618112938164,40.05774965343543,1288.5593957863982,-137.8458888515682,1.7063901072740464
2025-02-19 16:13:49.477,642,-68,762,-1,-1,-1,-1,0,0,637,27,noise,5.09950107587387,40.00286538404699,1284.8259190609633,-136.08748052359113,-0.9802964555358358
2025-02-19 16:13:49.587,639,-67,759,-2,0,1,-1,-1,-2,635,29,noise,5.044654159857453,39.98441197524697,1281.5791740443478,-134.37528115957952,-4.251319404789001
2025-02-19 16:13:49.690,636,-75,762,0,-1,0,-1,0,-2,635,30,noise,5.621243066439478,39.71410651990174,1274.9572283389841,-150.3487297569557,-3.5430943306695326
2025-02-19 16:13:49.797,634,-71,762,0,0,0,-2,0,0,634,30,noise,5.323213715190737,39.63945998960119,1271.9544962008304,-142.44285367548733,-4.752880291849692
2025-02-19 16:13:49.899,632,-75,758,0,0,1,0,0,0,633,32,noise,5.650715140212413,39.68322306793104,1270.542500171681,-150.77640429252546,-7.846859383123956
2025-02-19 16:13:50.007,634,-71,756,0,0,0,-2,-2,-1,631,34,noise,5.365215869161279,39.86020200822711,1274.9165993581166,-142.7745718524074,-8.247553808732164
2025-02-19 16:13:50.120,634,-73,765,0,0,0,-1,0,0,630,41,noise,5.4509351607678305,39.5229875672178,1270.3877515981726,-146.27493038906402,-2.8811198306026427
2025-02-19 16:13:50.227,630,-71,762,-1,0,-1,-1,-1,-1,632,49,noise,5.323213715190737,39.46141459145206,1265.558431349846,-142.62642639022073,-6.723055061242121
2025-02-19 16:13:50.337,633,-71,765,-1,0,-1,-1,0,-1,629,50,noise,5.30245758860894,39.485454522931434,1268.8823101766698,-142.32329229469752,-3.4833606400509325
2025-02-19 16:13:50.440,633,-70,762,-2,0,-1,-1,0,0,628,49,noise,5.24866058061943,39.59842193448182,1270.4027676928536,-140.48687794391748,-5.300014189501553
