Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter,Roll,Pitch,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z
2025-02-19 15:36:04.569,370,-24,942,21,6,-10,-3,1,0,0,11,noise,1.4594493549922665,21.43764754905109,735.488477803617,-47.70736072239678,11.486091645926422
2025-02-19 15:36:04.660,358,2,939,20,6,-5,-2,2,-3,0,12,noise,-0.12203555457076865,20.86963749781242,714.2428903562366,3.9901837450069078,4.608731719256866
2025-02-19 15:36:04.770,364,61,933,21,-3,0,-1,2,-2,0,12,noise,-3.7407023622161826,21.2713688886791,726.7856123608067,121.79648998354179,3.1127023828772735
2025-02-19 15:36:04.869,359,49,920,-13,-12,3,-2,1,-1,0,12,noise,-3.048742407025118,21.28912648044221,722.0744087662822,98.5561170739494,-10.44138179660058
2025-02-19 15:36:04.987,367,46,903,-8,-10,-2,-4,1,-1,0,11,noise,-2.916201092979111,22.092072205823275,743.0960593751314,93.1401055347576,-22.380767345350364
2025-02-19 15:36:05.090,401,30,918,-13,-17,1,-3,1,0,0,12,noise,-1.871744965288753,23.585412962661664,801.1157211207474,59.93384447287387,2.0243591300595654
2025-02-19 15:36:05.200,465,-20,897,-19,-14,6,-3,1,1,0,11,noise,1.2772862374201646,27.396164518906257,925.140351816365,-39.790982873822145,9.374418109076828
2025-02-19 15:36:05.307,466,-11,837,-31,-24,10,-6,4,4,0,11,noise,0.7529477817055632,29.104783850133696,952.4083334100806,-22.481741775774438,-36.656169665745665
2025-02-19 15:36:05.415,476,-219,914,-98,-22,-52,-4,6,6,0,10,noise,13.474393188436391,26.860053627472237,927.8128419769396,-426.8718747751046,46.44340847285116
2025-02-19 15:36:05.519,593,-189,872,8,1,20,-4,6,7,138,11,noise,12.229306605444297,33.608570618341986,1146.5161359993315,-365.41576678562166,58.06058922189368
2025-02-19 15:36:05.629,495,-204,826,49,13,31,-4,7,7,0,10,noise,13.87291500636081,30.190534634622274,997.877160021788,-411.246344736252,-13.144513490902682
2025-02-19 15:36:05.732,407,-148,870,18,-6,5,-2,7,4,0,10,noise,9.654445934900911,24.75870123258396,825.7976480153086,-300.2900538237485,-25.218559639602972
2025-02-19 15:36:05.842,467,-132,856,15,-13,-12,-4,7,4,0,9,noise,8.766280161838376,28.332997561846078,941.5952114794459,-266.1468263710639,-13.921843739626752
2025-02-19 15:36:05.949,512,-89,837,3,-15,-9,-4,6,6,0,9,noise,6.069576064383208,31.31128714177077,1031.6874282962908,-179.3362912468162,-12.567143523428626
2025-02-19 15:36:06.050,548,-71,832,0,-10,-4,-4,5,4,0,9,noise,4.87760629331662,33.2756328887771,1096.6673109214155,-142.08645816682574,-1.0131435887184352
2025-02-19 15:36:06.160,546,-80,834,-2,-3,0,-5,5,5,0,10,noise,5.479233765106762,33.09168246927594,1091.9803450613604,-159.9971201555107,0.030022378801277227
2025-02-19 15:36:06.269,549,-76,831,-2,-3,-2,-3,4,5,0,12,noise,5.22551048194157,33.34108269777239,1098.6219743786598,-152.0861020997781,-0.9414584857313457
2025-02-19 15:36:06.369,545,-59,821,-6,-1,1,-5,6,3,0,28,noise,4.110413705421,33.509223698088,1097.0712203520256,-118.7655082582927,-10.652242034886285
2025-02-19 15:36:06.483,555,-80,835,-3,2,0,-5,5,5,0,34,noise,5.47271167125049,33.49025175019424,1106.795100778108,-159.5380325445921,4.821785315819625
2025-02-19 15:36:06.589,534,-74,839,0,2,-1,-4,6,6,0,15,noise,5.040458033847066,32.375134396231445,1069.4603174773333,-148.20236609236457,-2.2943939391061576
2025-02-19 15:36:06.692,525,-73,820,-2,0,0,-5,6,5,0,24,noise,5.087310562096726,32.5265459717986,1062.6903062440233,-147.76455686821657,-19.82104975256948
2025-02-19 15:36:06.799,524,-79,839,-2,-1,-1,-5,6,5,0,21,noise,5.379094510826112,31.873458579193223,1052.0450044848762,-158.60983846241456,-6.476638860326602
2025-02-19 15:36:06.909,538,-88,839,4,0,-3,-4,5,6,0,17,noise,5.987676016364218,32.52733565740976,1075.701926899402,-175.9512445486011,0.4648389059512965
2025-02-19 15:36:07.017,541,-54,830,-5,-2,0,-5,4,5,0,19,noise,3.722430991276863,33.04126820903068,1086.242959687264,-108.42351168782304,-6.509531498020692
2025-02-19 15:36:07.125,471,-232,891,29,-5,1,-4,6,7,0,27,noise,14.594693602282325,27.092573432222157,926.4295157504861,-456.33046211064277,29.454992497488206
2025-02-19 15:36:07.232,532,-68,859,3,1,1,-5,5,7,1,73,noise,4.5261990909708665,31.690905793023955,1057.3366004348468,-135.14828727362703,10.759135764035136
2025-02-19 15:36:07.342,538,-83,835,-1,-1,-1,-2,6,5,0,71,noise,5.676621968995464,32.66603082211506,1077.7413156978691,-166.26864164112106,-2.7025996426034453
2025-02-19 15:36:07.449,531,-89,846,-1,-11,6,-5,5,7,0,95,noise,6.005480497277889,31.973024988748648,1060.5199421322018,-177.75193003722404,2.358058297847947
2025-02-19 15:36:07.551,537,-84,821,2,0,-3,-4,5,5,0,93,noise,5.841846803578741,33.05138960714542,1082.391034442886,-169.31256404693187,-12.828750982512588
2025-02-19 15:36:07.649,550,-83,830,1,1,-1,-3,5,6,3,89,noise,5.710593137499642,33.39934043730571,1100.471129663417,-166.07109774920656,-0.7109774920656946
2025-02-19 15:36:07.765,543,-84,827,-2,0,-1,-5,6,6,0,83,noise,5.799753364030452,33.15373791052192,1089.8874199990994,-168.60136883963966,-5.920619409309666
2025-02-19 15:36:07.875,551,-91,830,-2,2,-2,-3,5,5,1,85,noise,6.256835955671614,33.42086232532687,1101.7846852738608,-181.96443985466664,0.3243397871063962
2025-02-19 15:36:07.981,553,-79,836,1,0,0,-5,6,5,0,77,noise,5.398283651195777,33.36687940560015,1102.99805312519,-157.57115044645573,4.538205402063568
2025-02-19 15:36:10.204,727,-74,655,-26,-1,-14,-6,1,16,790,71,A,6.4457794257850045,47.80157642082568,1467.8230775478373,-149.4070257751581,-12.454079496331929
2025-02-19 15:36:10.301,763,-97,647,-4,3,-8,-8,0,14,802,80,A,8.52643519052375,49.38871380462482,1522.1431022738734,-193.50967355251072,3.2705279538715786
2025-02-19 15:36:10.399,763,-71,644,2,-3,-6,-9,0,17,827,87,A,6.2913629018311275,49.66372502475415,1525.2586827772006,-141.93101766340922,0.6256989403445914
2025-02-19 15:36:10.509,719,-61,631,2,-3,-15,-8,0,16,843,91,A,5.521736284221295,48.59740534627318,1469.081121187855,-124.63692405070815,-27.27703403273506
2025-02-19 15:36:10.619,773,-47,630,-6,-2,-7,-8,-2,16,846,105,A,4.2665434173952415,50.7418555389827,1547.3026986765421,-94.07920677593464,-1.0617078476342385
2025-02-19 15:36:10.730,643,-385,688,39,13,32,-8,-2,19,768,111,A,29.231072000834065,39.19997931081339,1275.0290228366744,-763.4310634403104,11.738774943029739
2025-02-19 15:36:10.831,887,21,658,-25,-15,26,-7,0,17,777,108,A,-1.827968244305005,53.41704454580212,1689.9948066943273,40.01115100403707,62.317268540171995
2025-02-19 15:36:10.947,745,-122,643,8,-3,-20,-8,-1,18,829,111,A,10.743345991530605,48.701169803392254,1496.2776085487076,-245.02801106435209,-5.418123888347623
2025-02-19 15:36:11.049,735,26,600,12,-23,80,-7,-1,18,791,108,A,-2.4812648011958225,50.74799549193525,1509.3705082442996,53.39269825081875,-32.1391904035097
