Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter,Roll,Pitch,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z
2025-02-19 13:59:51.411,479,-160,859,-1,-1,2,-1,0,0,127,17,noise,10.551177507035995,28.7314067034127,959.7042332774988,-320.5692637252605,-3.056234624992385
2025-02-19 13:59:51.505,475,-144,866,1,3,7,-1,0,0,163,17,noise,9.44086311557841,28.41647564659168,950.877136114223,-288.2659107377855,-1.5991576314044096
2025-02-19 13:59:51.611,460,-167,865,0,-3,-3,0,0,-1,158,17,noise,10.927286029117727,27.571301189762444,922.852087634997,-335.03543181531415,-5.363164791896452
2025-02-19 13:59:51.718,473,-169,860,1,-5,-5,-1,0,-2,119,16,noise,11.117622457169514,28.354776855740884,947.9297607347767,-338.68949167902167,-3.5086558814119826
2025-02-19 13:59:51.827,479,-156,867,-2,-1,-1,-1,0,0,136,17,noise,10.200133007197078,28.53504730477197,956.6962353552434,-311.57539189022543,2.3598412254779078
2025-02-19 13:59:51.935,478,-162,859,0,-1,0,0,-2,0,143,17,noise,10.68005136711616,28.670792938108878,957.7763015708117,-324.6020101557981,-3.19214027055898
2025-02-19 13:59:52.042,478,-155,863,2,-1,3,-1,0,-1,158,17,noise,10.182107559324354,28.59739173129865,956.6518891339556,-310.21138664385586,-1.176946281597452
2025-02-19 13:59:52.148,505,-150,854,-2,3,3,-1,0,-2,163,17,noise,9.962045193821616,30.21733814969617,1008.2814598901366,-299.4895425416248,2.906204463016593
2025-02-19 13:59:52.257,481,-153,867,-4,-3,-6,-1,1,-1,173,17,noise,10.007979801441337,28.649754183690867,960.4540952313216,-305.5082672981127,2.786485310694843
2025-02-19 13:59:52.358,471,-165,860,-1,0,-1,0,-2,0,141,17,noise,10.860814621637326,28.274224469698833,944.6920626154457,-330.94307926018803,-4.915443416737503
2025-02-19 13:59:52.468,458,-171,867,0,0,4,2,1,0,149,17,noise,11.157347536435969,27.396533154497845,918.1460641247147,-342.80125974962056,-4.062527502462103
2025-02-19 13:59:52.573,498,-174,867,2,2,4,1,0,0,166,17,noise,11.348053412848339,29.386690684849,988.701364922309,-345.44987449092724,12.70665986417282
2025-02-19 13:59:52.684,480,-174,871,2,2,4,0,-1,-1,158,17,noise,11.297281606592088,28.38735248156897,955.4300231202478,-346.3433833810899,8.292603879716808
2025-02-19 13:59:52.792,442,-178,872,-1,0,-2,1,-1,-1,156,17,noise,11.537195282002516,26.410798545064974,886.8039862309533,-357.1292071246826,-5.53184613889448
2025-02-19 13:59:52.901,467,-165,863,-2,-2,-2,0,2,-1,149,16,noise,10.82395314173272,27.99100792699148,936.3329860788776,-330.8242884432865,-4.311278342765377
2025-02-19 13:59:53.008,481,-170,871,2,0,0,-1,-1,-1,134,16,noise,11.044031317841334,28.458201393444142,957.517515777115,-338.41575401685975,8.116930890088952
2025-02-19 13:59:53.112,474,-159,866,0,-1,2,0,-1,-1,152,17,noise,10.403792759240968,28.295601854714615,948.0206203454874,-318.00691695133435,-0.037673458210974786
2025-02-19 13:59:53.221,463,-163,866,-2,-2,-3,2,1,0,171,17,noise,10.659596558993734,27.718153301844435,928.1225459781206,-326.7472462082801,-3.970032002273115
2025-02-19 13:59:53.328,468,-168,873,0,-1,-3,-1,-1,-2,161,18,noise,10.892829601077658,27.763374779298164,933.8210937843057,-335.217828537956,4.06449813312156
2025-02-19 13:59:53.438,461,-175,862,-2,-1,-3,0,1,-1,154,17,noise,11.47600673215129,27.659530878644958,925.216559118722,-351.2210365418142,-6.0144771373935555
2025-02-19 13:59:53.541,483,-150,866,0,-1,0,1,0,0,165,14,noise,9.826712450994561,28.791164348380253,964.6185320584382,-299.570972688956,2.476917675760774
2025-02-19 13:59:53.641,475,-160,858,0,0,1,-1,0,0,159,14,noise,10.563198304479009,28.556408851369483,953.0237420548015,-321.01852363951207,-5.461833016883475
2025-02-19 13:59:53.757,469,-165,861,-1,-1,0,-1,2,-1,159,15,noise,10.848499930749677,28.14591021344311,940.7185644188404,-330.95642458232123,-4.990797365930803
2025-02-19 13:59:53.858,461,-158,865,0,-1,1,-1,0,-1,157,15,noise,10.351471037470036,27.66684175941783,925.3295724940901,-317.14115499797447,-6.247462488910969
2025-02-19 13:59:53.968,465,-160,859,-1,0,1,-1,0,-1,147,16,noise,10.551177507035995,28.020757179210943,934.7914072138063,-321.6486562456108,-8.851223218622863
