Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter,Roll,Pitch,Lin_Acc_X,Lin_Acc_Y,Lin_Acc_Z
2025-02-19 14:07:22.653,51,258,957,-1,-2,0,-2,-1,0,0,19,noise,-15.087810026850946,2.9455264246507706,102.38649244781013,517.9551970889218,-7.2524171089075935
2025-02-19 14:07:22.743,49,262,961,-1,-1,0,0,1,0,0,18,noise,-15.250073728208346,2.8162863017744773,98.13367805228046,524.7147683611731,-2.6217266988068104
2025-02-19 14:07:22.849,49,263,966,0,-1,-1,1,-1,1,0,18,noise,-15.23002199878761,2.8019992611550855,97.88462179735743,525.3807251572449,2.27459885209646
2025-02-19 14:07:22.957,47,265,964,-1,-1,0,0,-1,1,0,19,noise,-15.370725435267614,2.691565147164401,93.95939767392971,529.7710719913059,0.8327796240798762
2025-02-19 14:07:23.066,48,263,957,-1,0,-1,0,1,0,0,19,noise,-15.366510145366949,2.7688760697248402,96.30719607965091,527.6831785197539,-6.124721838040045
2025-02-19 14:07:23.166,50,266,958,-1,0,-1,-2,-2,0,0,19,noise,-15.517941536294298,2.8789504618896404,100.22602341198711,533.2024445517715,-4.330608573673089
2025-02-19 14:07:23.283,50,264,958,-1,-1,-1,-1,-1,0,0,19,noise,-15.406828267786556,2.8804926672720255,100.25290598343734,529.3353435925492,-4.845678642659436
2025-02-19 14:07:23.386,49,264,958,-1,-1,0,0,-2,1,0,19,noise,-15.406828267786556,2.8229769511946516,98.25031054036614,529.3486118909524,-4.893826483077078
2025-02-19 14:07:23.497,50,263,959,-1,-1,0,-1,-1,3,0,18,noise,-15.335973515517736,2.8784708467377094,100.21766311174488,527.144907967778,-4.1747784832664365
2025-02-19 14:07:23.604,48,266,961,-1,-1,0,-1,-1,0,0,19,noise,-15.471822614677977,2.755973590297954,96.08226701339615,532.4558963659036,-1.6470541640354668
