Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter
2025-02-19 13:31:26.426,575, -319, 806, 2, -16, -23, -5, 8, 12, 0, 16,noise
2025-02-19 13:31:26.521,486, -323, 831, 30, -9, -7, -5, 7, 9, 0, 17,noise
2025-02-19 13:31:26.623,511, -258, 798, 7, 5, -5, -7, 5, 8, 0, 18,noise
2025-02-19 13:31:26.733,637, -226, 745, 18, -33, 1, -7, 4, 12, 0, 20,noise
2025-02-19 13:31:26.838,559, -177, 739, -19, 6, 17, -7, 6, 7, 0, 18,noise
2025-02-19 13:31:26.950,491, -278, 839, -36, -9, 12, -6, 6, 10, 0, 16,noise
2025-02-19 13:31:27.057,581, -370, 767, 3, -30, -28, -5, 7, 13, 0, 19,noise
2025-02-19 13:31:27.161,491, -305, 677, 5, 17, 3, -6, 5, 11, 1, 17,noise
2025-02-19 13:31:27.268,492, -278, 745, 2, 5, -5, -6, 5, 10, 0, 17,noise
2025-02-19 13:31:27.381,628, -239, 803, -2, -3, -27, -7, 6, 10, 1, 19,noise
2025-02-19 13:31:27.487,517, -288, 781, -13, -10, 3, -8, 5, 10, 0, 19,noise
2025-02-19 13:31:27.592,627, -243, 760, -1, -22, -12, -7, 5, 13, 0, 22,noise
2025-02-19 13:31:27.692,590, -274, 735, 0, 12, 6, -7, 5, 13, 0, 22,noise
2025-02-19 13:31:27.807,482, -145, 824, 5, 2, -3, -8, 6, 11, 0, 21,noise
2025-02-19 13:31:27.913,605, -266, 767, 6, -1, -2, -7, 4, 11, 0, 20,noise
2025-02-19 13:31:28.018,585, -234, 748, 2, -33, -8, -8, 5, 11, 1, 22,noise
2025-02-19 13:31:28.125,644, -206, 695, 5, -6, 1, -8, 5, 13, 0, 27,noise
2025-02-19 13:31:28.236,661, -204, 713, -11, 14, 1, -7, 4, 15, 0, 28,noise
2025-02-19 13:31:28.343,584, -216, 753, -2, 14, 2, -7, 5, 12, 0, 26,noise
2025-02-19 13:31:28.448,578, -243, 734, 6, -6, 6, -7, 6, 13, 0, 25,noise
2025-02-19 13:31:28.556,632, -221, 741, -9, -10, -1, -7, 4, 11, 0, 27,noise
2025-02-19 13:31:28.659,659, -219, 731, 13, 7, -2, -8, 3, 12, 2, 28,noise
2025-02-19 13:31:28.768,586, -196, 763, 3, 3, 3, -7, 4, 13, 0, 24,noise
2025-02-19 13:31:28.879,669, -181, 727, 3, -14, -4, -9, 4, 12, 0, 27,noise
2025-02-19 13:31:28.986,568, -235, 770, -5, 6, -4, -8, 3, 10, 0, 25,noise
2025-02-19 13:31:29.093,598, -202, 772, -5, 4, 2, -8, 5, 11, 0, 24,noise
2025-02-19 13:31:29.198,587, -205, 750, 0, -16, -10, -8, 3, 11, 3, 26,noise
2025-02-19 13:31:29.306,621, -174, 791, 9, -2, -6, -9, 4, 11, 0, 27,noise
2025-02-19 13:31:29.409,655, -214, 738, 1, -16, -22, -10, 2, 13, 0, 30,noise
2025-02-19 13:31:29.523,833, -169, 772, -23, 26, -15, -8, 3, 11, 8, 28,noise
2025-02-19 13:31:29.628,512, -151, 790, -12, 2, -2, -8, 4, 11, 0, 23,noise
2025-02-19 13:31:29.734,631, -175, 772, -3, -4, -6, -9, 3, 13, 0, 26,noise
2025-02-19 13:31:29.842,666, -102, 809, -4, -3, 1, -9, 2, 11, 0, 25,noise
2025-02-19 13:31:29.948,628, -145, 743, -4, 7, 6, -8, 2, 12, 3, 26,noise
2025-02-19 13:31:30.058,612, -195, 767, -2, -7, -4, -9, 1, 12, 0, 26,noise
2025-02-19 13:31:30.165,635, -156, 758, -5, -2, -8, -8, 2, 11, 1, 25,noise
2025-02-19 13:31:30.268,637, -159, 754, 4, -7, -2, -9, 2, 12, 0, 26,noise
2025-02-19 13:31:30.378,657, -151, 747, -1, -3, -1, -8, 1, 12, 0, 30,noise
2025-02-19 13:31:30.486,625, -158, 754, -1, -10, -5, -9, 3, 11, 0, 32,noise
2025-02-19 13:31:30.591,648, -96, 742, -3, -1, 4, -10, 1, 14, 6, 35,noise
2025-02-19 13:31:30.698,700, -127, 724, 0, 6, 4, -9, 1, 13, 0, 34,noise
2025-02-19 13:31:30.808,617, -150, 732, -3, -5, -3, -9, 1, 13, 0, 33,noise
2025-02-19 13:31:30.915,688, -137, 732, 0, -3, 0, -10, 0, 14, 0, 36,noise
2025-02-19 13:31:34.237,692, -211, 663, -13, -24, -5, -11, 0, 16, 159, 37,A
2025-02-19 13:31:34.328,635, -222, 642, 12, 1, 2, -11, 1, 19, 109, 38,A
2025-02-19 13:31:34.443,713, -169, 651, -14, 10, -2, -11, 0, 18, 117, 39,A
2025-02-19 13:31:34.548,641, -233, 694, -24, 0, -5, -12, -1, 15, 240, 36,A
2025-02-19 13:31:34.655,751, -193, 671, -29, -4, -6, -12, 2, 18, 393, 39,A
2025-02-19 13:31:34.765,668, -272, 662, -18, -3, -14, -11, -2, 18, 602, 40,A
2025-02-19 13:31:34.872,708, -247, 620, -18, -9, -19, -13, -1, 19, 583, 43,A
2025-02-19 13:31:34.979,704, -308, 632, -2, -12, -25, -11, -2, 20, 485, 51,A
2025-02-19 13:31:35.085,788, -203, 607, 1, -6, -12, -13, -4, 21, 509, 69,A
2025-02-19 13:31:35.190,741, -202, 606, 6, -1, -8, -15, -5, 19, 503, 71,A
2025-02-19 13:31:35.302,733, -218, 618, 10, -13, -14, -12, -4, 22, 576, 85,A
2025-02-19 13:31:35.404,781, -156, 587, -2, 0, -4, -12, -6, 21, 614, 104,A
2025-02-19 13:31:35.512,796, -137, 563, 4, 0, -6, -14, -5, 21, 651, 120,A
2025-02-19 13:31:35.622,700, -363, 665, 14, 9, -7, -11, -7, 20, 471, 122,A
2025-02-19 13:31:35.724,819, -119, 574, 15, 8, 30, -13, -4, 23, 0, 119,A
2025-02-19 13:31:35.839,451, -384, 674, -18, -8, -42, -12, -6, 20, 493, 117,A
2025-02-19 13:31:35.939,684, -358, 643, 7, -50, 68, -14, -7, 21, 506, 120,A
2025-02-19 13:31:36.048,559, -166, 458, 23, 42, -27, -13, -2, 22, 475, 120,A
2025-02-19 13:31:36.158,795, -258, 540, 33, 9, -21, -14, -7, 21, 139, 117,A
2025-02-19 13:31:36.265,733, -141, 642, 38, -2, 8, -12, -5, 20, 643, 110,A
2025-02-19 13:31:36.375,606, -217, 664, -18, 62, 34, -13, -3, 19, 447, 50,A
2025-02-19 13:31:37.292,772, -104, 618, -2, -6, -6, -13, -3, 21, 568, 79,B
2025-02-19 13:31:37.378,767, -108, 612, -1, -6, -5, -12, -4, 20, 572, 86,B
2025-02-19 13:31:37.493,754, -105, 610, -3, -5, -9, -13, -5, 21, 546, 95,B
2025-02-19 13:31:37.604,740, -64, 602, -1, -4, -12, -11, -6, 20, 545, 109,B
2025-02-19 13:31:37.710,738, -402, 610, 30, 12, 6, -13, -8, 21, 473, 116,B
2025-02-19 13:31:37.818,998, -27, 697, 13, -16, 27, -13, -4, 21, 45, 119,B
2025-02-19 13:31:37.923,852, -287, 546, 22, 1, -35, -12, -6, 20, 454, 114,B
2025-02-19 13:31:38.034,678, -113, 699, 0, -10, 35, -13, -8, 23, 514, 117,B
2025-02-19 13:31:38.139,834, -56, 590, -5, -26, 31, -13, -7, 20, 357, 116,B
2025-02-19 13:31:38.239,815, -96, 530, -23, 3, 39, -12, -6, 21, 19, 122,B
