Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter
2025-02-19 17:13:49.276,714, -12, 686, 0, -1, -1, 0, -4, 2, 189, 44,noise
2025-02-19 17:13:49.369,716, -11, 684, 0, -3, -1, -1, -4, 1, 142, 44,noise
2025-02-19 17:13:49.477,716, -10, 685, -2, 0, 0, -1, -2, 4, 92, 44,noise
2025-02-19 17:13:49.583,724, -11, 688, -2, 0, 0, 0, -3, 1, 91, 44,noise
2025-02-19 17:13:49.689,711, -8, 690, -2, 0, 0, -2, -3, 1, 55, 43,noise
2025-02-19 17:13:49.797,705, -17, 693, -4, 2, 0, -2, -3, 2, 0, 42,noise
2025-02-19 17:13:49.903,723, -11, 695, 0, 0, 1, -1, -3, 1, 0, 41,noise
2025-02-19 17:13:50.013,714, -21, 693, -3, 0, -1, 0, -1, 1, 0, 41,noise
2025-02-19 17:13:50.120,715, -16, 697, -2, -1, -1, -1, -3, 1, 0, 40,noise
2025-02-19 17:13:50.226,716, -16, 698, -1, -1, 0, -1, -3, 0, 2, 40,noise
2025-02-19 17:13:50.332,698, -32, 698, -1, -1, 0, 0, -3, 0, 0, 41,noise
2025-02-19 17:13:50.443,710, -17, 698, -1, -1, -1, -1, -1, 1, 10, 40,noise
2025-02-19 17:13:50.546,713, -25, 696, 0, -1, 0, 0, -2, 1, 17, 41,noise
2025-02-19 17:13:50.656,708, -22, 696, -1, -1, -1, -1, -3, 1, 19, 41,noise
2025-02-19 17:13:50.763,714, -23, 698, -1, -1, 0, 0, -1, 0, 19, 42,noise
2025-02-19 17:13:50.869,712, -21, 695, -1, 0, -1, -1, -3, 2, 18, 41,noise
2025-02-19 17:13:51.992,729, -83, 622, -3, -5, -15, -2, -5, 7, 432, 56,A
2025-02-19 17:13:52.086,773, -27, 609, 7, -7, -12, -2, -5, 7, 552, 65,A
2025-02-19 17:13:52.192,767, -28, 632, -3, -5, -13, 0, -7, 7, 656, 73,A
2025-02-19 17:13:52.303,738, -27, 618, -1, -9, -17, -2, -5, 5, 684, 82,A
2025-02-19 17:13:52.410,785, -14, 623, -6, -3, -15, -1, -9, 7, 701, 104,A
2025-02-19 17:13:52.512,878, 301, 454, 7, 9, 45, -2, -6, 7, 0, 98,A
2025-02-19 17:13:52.626,728, -104, 584, -17, 5, -63, -2, -7, 6, 499, 89,A
2025-02-19 17:13:52.728,738, -82, 644, -1, -28, 68, -1, -6, 5, 619, 97,A
2025-02-19 17:13:52.839,954, 148, 678, 14, 68, -46, -2, -4, 7, 631, 85,A
2025-02-19 17:13:52.942,776, 4, 574, 67, 6, -21, -5, -8, 7, 0, 97,A
