Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter
2025-02-19 16:13:48.416,634, -71, 767, -1, -1, 0, 0, 0, 0, 635, 24,noise
2025-02-19 16:13:48.515,640, -65, 766, -1, -1, -1, -1, 0, -1, 633, 25,noise
2025-02-19 16:13:48.621,633, -71, 767, -1, -1, 0, -1, -1, 0, 633, 25,noise
2025-02-19 16:13:48.727,637, -69, 768, -1, -1, 0, -1, 0, -2, 634, 25,noise
2025-02-19 16:13:48.833,627, -73, 767, -1, -1, 0, -1, -1, 0, 633, 25,noise
2025-02-19 16:13:48.944,625, -72, 768, -1, -1, -1, 0, 0, -1, 634, 25,noise
2025-02-19 16:13:49.051,631, -72, 763, -2, -1, 0, -1, -1, -2, 635, 25,noise
2025-02-19 16:13:49.158,637, -67, 762, -2, -1, -1, -1, 0, -2, 636, 25,noise
2025-02-19 16:13:49.264,618, -80, 760, 2, -2, -2, 0, -1, -1, 637, 26,noise
2025-02-19 16:13:49.370,645, -69, 764, -1, -2, 0, -2, -1, 0, 638, 26,noise
2025-02-19 16:13:49.477,642, -68, 762, -1, -1, -1, -1, 0, 0, 637, 27,noise
2025-02-19 16:13:49.587,639, -67, 759, -2, 0, 1, -1, -1, -2, 635, 29,noise
2025-02-19 16:13:49.690,636, -75, 762, 0, -1, 0, -1, 0, -2, 635, 30,noise
2025-02-19 16:13:49.797,634, -71, 762, 0, 0, 0, -2, 0, 0, 634, 30,noise
2025-02-19 16:13:49.899,632, -75, 758, 0, 0, 1, 0, 0, 0, 633, 32,noise
2025-02-19 16:13:50.007,634, -71, 756, 0, 0, 0, -2, -2, -1, 631, 34,noise
2025-02-19 16:13:50.120,634, -73, 765, 0, 0, 0, -1, 0, 0, 630, 41,noise
2025-02-19 16:13:50.227,630, -71, 762, -1, 0, -1, -1, -1, -1, 632, 49,noise
2025-02-19 16:13:50.337,633, -71, 765, -1, 0, -1, -1, 0, -1, 629, 50,noise
2025-02-19 16:13:50.440,633, -70, 762, -2, 0, -1, -1, 0, 0, 628, 49,noise
2025-02-19 16:13:50.549,630, -71, 767, -1, 0, 0, -1, -2, -1, 628, 48,noise
2025-02-19 16:13:50.657,624, -72, 764, -1, -1, 0, 0, -2, -2, 628, 41,noise
