Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter
2025-02-19 14:03:01.823,25, 270, 957, 0, -1, -1, 0, 0, 0, 0, 17,noise
2025-02-19 14:03:01.918,28, 276, 954, -1, -1, 0, 0, 0, -1, 0, 16,noise
2025-02-19 14:03:02.024,26, 279, 962, -1, -1, 0, 0, -1, -1, 0, 17,noise
2025-02-19 14:03:02.130,28, 277, 960, -1, -1, 0, 1, -1, 0, 0, 17,noise
2025-02-19 14:03:02.240,27, 275, 955, 0, -1, -1, -1, 0, -2, 0, 16,noise
2025-02-19 14:03:02.348,23, 274, 954, 0, -1, -1, -1, -2, -2, 0, 16,noise
2025-02-19 14:03:02.454,27, 278, 964, 0, -1, 0, -1, -1, -2, 0, 10,noise
2025-02-19 14:03:02.560,26, 276, 963, -1, -1, -1, 1, -1, 0, 0, 9,noise
2025-02-19 14:03:02.667,25, 275, 963, -1, -1, 0, -1, 0, -1, 0, 9,noise
2025-02-19 14:03:02.773,30, 270, 954, 0, -2, 0, 1, -1, -1, 0, 10,noise
2025-02-19 14:03:02.879,31, 273, 957, -1, -1, 0, 0, 0, -1, 0, 11,noise
2025-02-19 14:03:02.987,26, 276, 958, 0, -1, -1, 1, 0, -2, 0, 11,noise
2025-02-19 14:03:03.094,35, 279, 959, 0, -1, 0, -2, 0, -1, 0, 13,noise
2025-02-19 14:03:03.200,21, 265, 963, -3, -2, -4, 1, 0, 0, 0, 14,noise
2025-02-19 14:03:03.311,28, 279, 953, 2, -1, 0, -1, -1, -2, 0, 15,noise
2025-02-19 14:03:03.414,25, 286, 959, -2, -2, 0, -1, 0, -1, 0, 16,noise
2025-02-19 14:03:03.527,138, 281, 951, -21, -2, -8, 1, -2, -1, 0, 17,noise
2025-02-19 14:03:03.634,-18, 266, 1056, 27, 25, 31, -1, 2, -1, 0, 16,noise
2025-02-19 14:03:03.733,51, 277, 937, -31, -18, 4, 0, 1, 0, 0, 19,noise
2025-02-19 14:03:03.843,21, 155, 975, -58, -11, -2, 0, 5, 0, 0, 18,noise
2025-02-19 14:03:03.953,131, 47, 942, -42, -24, -4, -1, 8, 0, 0, 0,noise
2025-02-19 14:03:04.064,129, -29, 951, -72, -43, -3, -3, 11, 4, 0, 21,noise
2025-02-19 14:03:04.174,184, -155, 894, -59, -45, -24, -4, 13, 7, 0, 21,noise
2025-02-19 14:03:04.277,241, -210, 892, -7, 10, -16, -4, 17, 8, 0, 18,noise
2025-02-19 14:03:04.378,218, -147, 861, 5, -9, 2, -4, 14, 9, 0, 16,noise
2025-02-19 14:03:04.494,281, -173, 915, -52, -11, -50, -6, 15, 9, 0, 16,noise
2025-02-19 14:03:04.599,282, -199, 1015, 15, -65, -13, -5, 15, 8, 0, 16,noise
2025-02-19 14:03:04.704,426, 46, 704, -30, 1, -19, -6, 16, 9, 0, 15,noise
2025-02-19 14:03:04.814,389, -177, 1258, 52, 3, -14, -6, 16, 8, 0, 12,noise
2025-02-19 14:03:04.918,171, -217, 940, 4, 5, 16, -4, 15, 7, 0, 15,noise
2025-02-19 14:03:05.024,244, -166, 952, 2, 1, 3, -3, 15, 8, 0, 66,noise
