Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter
2025-02-19 17:32:56.136,499, -124, 801, -23, 17, -29, -6, 0, 2, 575, 10,noise
2025-02-19 17:32:56.230,604, -115, 837, -3, -6, -2, -7, -2, 4, 315, 11,noise
2025-02-19 17:32:56.332,538, -140, 822, 0, 8, -3, -7, -2, 4, 70, 10,noise
2025-02-19 17:32:56.442,560, -110, 819, 13, -5, -5, -7, -2, 4, 2, 10,noise
2025-02-19 17:32:56.544,554, -105, 803, 2, -7, 1, -8, -3, 5, 0, 12,noise
2025-02-19 17:32:56.656,607, -102, 816, -10, 3, 8, -6, -3, 6, 0, 10,noise
2025-02-19 17:32:56.758,476, -112, 790, -1, -5, -8, -5, -2, 4, 0, 10,noise
2025-02-19 17:32:56.873,595, -111, 817, -7, -19, -1, -6, -3, 4, 0, 10,noise
2025-02-19 17:32:56.980,629, -160, 789, -3, -25, -3, -7, -3, 7, 113, 13,noise
2025-02-19 17:32:57.083,589, -163, 772, 5, 8, -1, -8, -2, 6, 213, 12,noise
2025-02-19 17:32:57.192,555, -138, 793, -4, 10, 3, -8, -3, 5, 218, 12,noise
2025-02-19 17:32:57.299,565, -128, 794, 5, -6, 0, -7, -1, 5, 139, 14,noise
2025-02-19 17:32:57.401,585, -136, 791, 0, 5, -6, -9, -3, 5, 0, 16,noise
2025-02-19 17:32:57.508,584, -111, 807, 1, -3, -3, -7, -3, 5, 1, 17,noise
2025-02-19 17:32:57.618,598, -107, 796, 0, -5, -3, -7, -3, 6, 0, 20,noise
2025-02-19 17:32:57.725,599, -106, 796, 1, 0, -1, -7, -3, 6, 0, 29,noise
2025-02-19 17:32:57.832,587, -107, 797, 3, 0, -2, -8, -2, 6, 0, 31,noise
2025-02-19 17:32:57.938,603, -121, 792, -2, 0, 0, -8, -2, 6, 0, 28,noise
2025-02-19 17:32:58.048,581, -106, 792, 0, 2, -1, -6, -2, 5, 0, 23,noise
2025-02-19 17:32:58.150,587, -113, 793, -3, 0, 1, -7, -3, 6, 0, 22,noise
2025-02-19 17:32:58.262,592, -108, 801, -1, 0, 0, -6, -2, 5, 0, 20,noise
2025-02-19 17:32:58.368,591, -110, 796, -1, 1, 0, -8, -4, 5, 0, 20,noise
2025-02-19 17:32:58.470,575, -111, 800, 0, 1, 0, -7, -2, 5, 0, 20,noise
2025-02-19 17:32:58.582,578, -116, 802, 0, -1, 0, -6, -3, 6, 0, 20,noise
2025-02-19 17:32:58.692,575, -92, 801, -3, -2, 0, -6, -3, 5, 3, 21,noise
2025-02-19 17:32:59.818,686, -184, 674, -12, -19, -19, -11, -6, 13, 802, 35,A
2025-02-19 17:32:59.908,829, -95, 610, 3, -8, -11, -9, -9, 14, 809, 48,A
