Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter
2025-02-19 11:26:36.058,39, 136, 986, -34, -16, -3, -3, 4, 2, 0, 11,noise
2025-02-19 11:26:36.152,98, 107, 1025, -20, -9, -9, -3, 3, 4, 0, 10,noise
2025-02-19 11:26:36.259,104, 18, 959, -48, 6, 14, -1, 5, 3, 0, 11,noise
2025-02-19 11:26:36.369,104, -83, 952, -49, 18, -12, -2, 12, 5, 0, 14,noise
2025-02-19 11:26:36.480,119, -135, 1063, -29, -26, -30, -3, 12, 5, 0, 17,noise
2025-02-19 11:26:36.586,145, -157, 984, -24, -3, -18, -3, 12, 7, 0, 18,noise
2025-02-19 11:26:36.690,122, -175, 884, 0, 20, -14, -3, 16, 8, 0, 22,noise
2025-02-19 11:26:36.790,42, -207, 966, -12, 22, -39, -3, 14, 6, 0, 24,noise
2025-02-19 11:26:36.904,153, -24, 988, 0, -16, -28, -4, 14, 7, 0, 19,noise
2025-02-19 11:26:37.016,182, -232, 1036, -33, -27, -45, -8, 14, 8, 0, 17,noise
2025-02-19 11:26:37.118,133, -89, 997, 60, 54, 7, -5, 11, 6, 0, 20,noise
2025-02-19 11:26:37.225,104, -139, 999, 23, -69, -2, -7, 9, 7, 0, 16,noise
2025-02-19 11:26:37.335,143, -163, 971, -29, -2, 20, -7, 9, 8, 0, 13,noise
2025-02-19 11:26:37.440,276, -49, 1009, -36, 35, -22, -8, 11, 6, 126, 14,noise
2025-02-19 11:26:37.549,160, -89, 888, -37, 44, -24, -8, 13, 6, 0, 15,noise
2025-02-19 11:26:37.653,202, -108, 964, -6, -18, -9, -6, 11, 7, 0, 16,noise
2025-02-19 11:26:37.766,244, -128, 999, 13, -60, 31, -7, 12, 6, 0, 15,noise
2025-02-19 11:26:37.871,184, -172, 871, 31, -8, 20, -8, 11, 9, 0, 13,noise
