Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter
2025-02-19 16:28:41.851,625, -50, 754, 8, -5, 1, -2, -1, 2, 82, 23,noise
2025-02-19 16:28:41.947,627, -29, 749, 1, 5, -2, -2, 0, 0, 98, 23,noise
2025-02-19 16:28:42.050,676, -167, 684, 7, -8, -1, -1, -2, 2, 85, 22,noise
2025-02-19 16:28:42.161,648, -74, 781, 6, 0, -11, -2, -1, 1, 151, 23,noise
2025-02-19 16:28:42.266,605, -88, 745, 58, 14, 2, -2, -2, 2, 0, 21,noise
2025-02-19 16:28:42.376,630, -9, 753, -10, -7, -3, -1, -2, 0, 1, 21,noise
2025-02-19 16:28:42.482,644, -35, 764, -10, -9, -2, 0, -1, 3, 187, 23,noise
2025-02-19 16:28:42.582,659, -57, 726, -8, -5, 3, -2, 0, 2, 368, 26,noise
2025-02-19 16:28:42.696,653, -46, 755, 1, 3, 3, -1, -1, 2, 301, 26,noise
2025-02-19 16:28:42.800,645, -83, 743, -3, 3, 1, -1, -1, 2, 256, 24,noise
2025-02-19 16:28:42.913,652, -73, 758, 3, -1, 7, -2, -1, -1, 261, 24,noise
2025-02-19 16:28:43.016,640, -77, 764, -1, -1, 0, 0, -1, 2, 261, 23,noise
2025-02-19 16:28:43.126,658, -66, 752, 0, 0, -2, -1, -2, 1, 248, 25,noise
2025-02-19 16:28:43.232,646, -73, 756, 0, 0, 0, -1, -1, 2, 244, 28,noise
2025-02-19 16:28:43.339,644, -64, 750, 0, 0, 0, -2, -1, 2, 240, 41,noise
2025-02-19 16:28:43.448,634, -71, 753, -4, -3, -1, -2, -1, 1, 229, 31,noise
2025-02-19 16:28:43.556,652, -70, 749, -1, -1, 0, -1, -2, 3, 209, 31,noise
2025-02-19 16:28:43.663,650, -69, 755, -2, -1, -2, -1, -2, 2, 183, 30,noise
2025-02-19 16:28:43.765,647, -72, 746, -2, -2, -1, -2, 0, 3, 190, 29,noise
2025-02-19 16:28:43.876,654, -70, 751, -4, -1, 1, -2, 0, 2, 188, 31,noise
2025-02-19 16:28:43.982,651, -68, 744, 0, 1, -2, -2, 0, 3, 159, 33,noise
2025-02-19 16:28:44.082,648, -71, 751, 0, 0, -1, -2, 0, 1, 177, 35,noise
2025-02-19 16:28:44.191,655, -58, 753, 0, 0, 0, 0, -1, 1, 172, 39,noise
2025-02-19 16:28:44.300,648, -63, 754, 0, -1, -1, -2, 1, 1, 170, 40,noise
2025-02-19 16:28:44.413,642, -50, 751, -1, -1, -2, -1, -1, 1, 174, 38,noise
2025-02-19 16:28:45.731,816, -76, 607, 1, 4, -1, -3, -1, 8, 831, 72,A
2025-02-19 16:28:45.820,763, -100, 616, 3, -6, -10, -2, -4, 9, 856, 70,A
2025-02-19 16:28:45.936,769, -82, 629, 0, -1, -6, -2, -3, 10, 872, 74,A
2025-02-19 16:28:46.041,757, -88, 606, -1, -10, -18, -3, -4, 9, 877, 83,A
2025-02-19 16:28:46.147,712, -69, 594, 0, -15, -33, -3, -4, 10, 886, 99,A
2025-02-19 16:28:46.251,691, -327, 763, 37, 12, -2, -2, -6, 9, 814, 100,A
2025-02-19 16:28:46.366,867, 91, 562, -19, -7, -14, -4, -5, 9, 824, 98,A
2025-02-19 16:28:46.473,789, -45, 576, 12, -5, -29, -5, -6, 10, 817, 98,A
2025-02-19 16:28:46.575,799, 9, 601, 5, 3, 44, -2, -5, 9, 803, 101,A
2025-02-19 16:28:46.682,803, -159, 480, 21, 3, -27, -3, -5, 10, 533, 97,A
2025-02-19 16:28:46.792,752, -47, 637, 7, -4, 20, -3, -4, 8, 866, 95,A
