Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter
2025-02-19 16:23:21.628,727, -38, 677, -2, 5, 2, -5, -3, 9, 725, 63,noise
2025-02-19 16:23:21.721,719, -52, 707, 8, 15, 9, -5, -2, 7, 753, 48,noise
2025-02-19 16:23:21.834,567, -171, 744, -18, 7, -18, -4, -1, 6, 674, 36,noise
2025-02-19 16:23:21.940,725, -42, 708, 0, -3, -16, -4, -3, 8, 599, 41,noise
2025-02-19 16:23:22.044,769, 11, 708, -1, 0, -12, -5, -5, 8, 445, 48,noise
2025-02-19 16:23:22.154,666, -31, 707, -5, -5, -7, -5, -4, 7, 391, 48,noise
2025-02-19 16:23:22.255,744, 5, 687, 6, -1, 0, -5, -5, 7, 401, 57,noise
2025-02-19 16:23:22.361,710, -21, 703, 0, 3, 2, -6, -3, 7, 398, 54,noise
2025-02-19 16:23:22.471,684, -36, 696, 2, 6, 4, -4, -4, 6, 304, 46,noise
2025-02-19 16:23:22.582,684, -40, 728, -8, 12, 12, -4, -3, 6, 49, 39,noise
2025-02-19 16:23:22.690,636, -100, 737, -10, -10, 8, -4, -3, 5, 0, 33,noise
2025-02-19 16:23:22.793,716, -22, 663, -3, -48, -14, -4, -4, 8, 150, 45,noise
2025-02-19 16:23:22.901,791, -50, 666, 7, 25, 6, -4, -3, 10, 245, 57,noise
2025-02-19 16:23:23.009,692, -70, 683, -2, 16, 6, -5, -3, 6, 240, 41,noise
2025-02-19 16:23:23.112,684, -96, 712, -2, 13, 7, -4, -1, 6, 239, 32,noise
2025-02-19 16:23:23.226,658, -101, 720, -8, 4, 2, -4, -3, 6, 261, 30,noise
2025-02-19 16:23:23.331,663, -105, 731, -1, -3, -3, -3, -1, 7, 386, 28,noise
2025-02-19 16:23:23.435,686, -92, 720, 2, -4, -3, -4, -2, 6, 367, 30,noise
2025-02-19 16:23:24.561,739, -106, 647, -14, -14, -10, -5, -4, 10, 768, 53,A
2025-02-19 16:23:24.651,778, -81, 647, 1, -14, -11, -7, -5, 11, 807, 66,A
2025-02-19 16:23:24.762,794, -60, 616, -10, 2, -3, -6, -5, 11, 834, 77,A
2025-02-19 16:23:24.866,765, -84, 618, -7, 3, -15, -7, -7, 13, 847, 75,A
2025-02-19 16:23:24.975,731, -214, 708, 26, -4, -16, -7, -9, 12, 855, 96,A
2025-02-19 16:23:25.084,702, -187, 738, 26, 9, 44, -7, -9, 12, 719, 97,A
2025-02-19 16:23:25.192,767, -101, 572, 23, 23, -65, -5, -8, 12, 821, 95,A
2025-02-19 16:23:25.302,778, -104, 679, -18, -26, 31, -7, -9, 11, 824, 99,A
2025-02-19 16:23:25.405,863, -4, 622, 9, 47, -8, -6, -5, 13, 815, 97,A
2025-02-19 16:23:25.512,878, -181, 528, 55, -1, -32, -7, -7, 11, 414, 100,A
2025-02-19 16:23:25.622,751, -34, 645, 11, 6, 16, -6, -8, 11, 867, 101,A
2025-02-19 16:23:25.726,707, -153, 697, -22, 41, 20, -4, -6, 10, 751, 43,A
2025-02-19 16:23:26.444,761, -23, 646, 4, -6, -8, -6, -7, 10, 778, 72,B
2025-02-19 16:23:26.543,729, -24, 643, 0, -5, -9, -6, -9, 11, 769, 77,B
2025-02-19 16:23:26.643,761, -39, 609, 4, -1, -17, -5, -8, 11, 703, 91,B
2025-02-19 16:23:26.761,872, 336, 482, -18, -15, 31, -9, -6, 13, 364, 101,B
2025-02-19 16:23:26.867,562, -163, 496, -8, -15, -64, -6, -8, 12, 782, 87,B
2025-02-19 16:23:26.961,672, -9, 725, 2, -11, 0, -7, -11, 13, 815, 96,B
2025-02-19 16:23:27.076,959, 40, 421, 1, 15, 6, -6, -8, 13, 579, 97,B
2025-02-19 16:23:27.184,628, -114, 712, -12, -9, 41, -6, -8, 14, 654, 99,B
2025-02-19 16:23:27.292,984, 52, 591, 28, 11, -6, -7, -6, 13, 348, 94,B
2025-02-19 16:23:27.404,526, -160, 676, -3, -12, -15, -5, -6, 11, 674, 45,B
2025-02-19 16:23:28.121,761, -42, 625, -1, -2, -2, -7, -8, 13, 773, 83,C
2025-02-19 16:23:28.215,779, -36, 623, 0, -4, -2, -6, -7, 12, 780, 88,C
2025-02-19 16:23:28.322,773, -9, 619, -4, -5, -3, -5, -8, 12, 786, 96,C
2025-02-19 16:23:28.431,715, -103, 669, 4, 9, -19, -6, -9, 14, 683, 98,C
2025-02-19 16:23:28.534,903, 86, 544, -4, -10, 62, -6, -8, 11, 0, 94,C
2025-02-19 16:23:28.645,733, -69, 628, 30, -4, 3, -5, -7, 13, 778, 96,C
2025-02-19 16:23:28.756,507, -229, 713, -48, 31, 10, -6, -4, 10, 702, 37,C
2025-02-19 16:23:29.661,775, -29, 627, 1, -3, -4, -5, -8, 13, 748, 81,D
2025-02-19 16:23:29.764,761, -18, 634, 1, 3, -4, -6, -7, 11, 777, 79,D
2025-02-19 16:23:29.875,770, -79, 683, 15, -2, -17, -6, -8, 12, 762, 91,D
2025-02-19 16:23:29.975,761, 83, 684, -19, -27, 78, -5, -8, 12, 560, 94,D
2025-02-19 16:23:30.090,728, -29, 653, 57, 36, -74, -6, -6, 12, 788, 92,D
2025-02-19 16:23:30.192,656, -28, 726, -17, -30, 19, -6, -9, 11, 816, 92,D
2025-02-19 16:23:30.302,852, 76, 446, -30, 22, 26, -7, -7, 14, 176, 99,D
2025-02-19 16:23:30.410,618, -63, 688, -30, 35, 11, -5, -7, 10, 615, 49,D
2025-02-19 16:23:31.225,744, -32, 636, 6, -3, -3, -4, -7, 11, 759, 78,E
2025-02-19 16:23:31.324,754, 27, 634, -1, 3, -13, -5, -8, 11, 723, 85,E
2025-02-19 16:23:31.433,757, -147, 614, 12, 2, -32, -6, -9, 12, 566, 90,E
2025-02-19 16:23:31.536,819, 145, 548, 20, 9, 28, -5, -6, 12, 38, 97,E
2025-02-19 16:23:31.651,1946, -381, 730, 16, 9, -30, -5, -10, 13, 632, 89,E
2025-02-19 16:23:31.754,720, 68, 636, 10, -16, 21, -5, -10, 14, 831, 93,E
2025-02-19 16:23:31.860,661, 0, 456, -18, -4, -16, -6, -9, 12, 627, 86,E
2025-02-19 16:23:31.965,766, 92, 609, 6, -18, 16, -6, -9, 11, 790, 91,E
2025-02-19 16:23:32.078,531, -72, 420, -26, -9, -1, -5, -7, 11, 655, 76,E
2025-02-19 16:23:32.184,809, 133, 568, 33, -41, 15, -8, -7, 12, 797, 91,E
2025-02-19 16:23:32.290,658, -35, 462, -59, 62, 9, -6, -7, 11, 769, 2,E
2025-02-19 16:23:33.110,767, 30, 641, -2, -3, -4, -7, -8, 12, 791, 72,F
2025-02-19 16:23:33.204,794, 67, 613, -4, -7, -9, -5, -9, 11, 785, 83,F
2025-02-19 16:23:33.310,769, 24, 632, -5, 1, -17, -6, -10, 11, 750, 87,F
2025-02-19 16:23:33.421,823, -69, 773, 28, -4, 66, -7, -10, 11, 641, 88,F
2025-02-19 16:23:33.523,717, 131, 565, 2, 8, -51, -6, -7, 11, 743, 88,F
2025-02-19 16:23:33.634,786, -12, 557, 79, 1, -32, -6, -11, 12, 534, 88,F
2025-02-19 16:23:33.736,804, 6, 687, 7, 0, 33, -4, -9, 13, 841, 84,F
2025-02-19 16:23:33.847,878, 243, 612, 5, -4, -13, -7, -8, 13, 543, 85,F
2025-02-19 16:23:33.957,728, 69, 602, -11, -8, 23, -5, -7, 13, 847, 86,F
2025-02-19 16:23:34.062,643, -114, 676, -2, 17, 1, -6, -7, 10, 759, 49,F
2025-02-19 16:23:34.781,774, 36, 619, -1, -6, -2, -5, -8, 13, 819, 86,G
2025-02-19 16:23:34.876,780, 46, 614, -2, -4, -3, -8, -9, 11, 824, 90,G
2025-02-19 16:23:34.983,684, -51, 661, 15, 6, -17, -5, -8, 12, 773, 91,G
2025-02-19 16:23:35.092,870, 148, 552, -1, -14, 53, -5, -8, 12, 570, 90,G
2025-02-19 16:23:35.201,727, -199, 692, -8, 0, -27, -6, -9, 12, 840, 90,G
2025-02-19 16:23:35.305,819, 182, 538, -6, -9, 39, -6, -9, 11, 734, 94,G
2025-02-19 16:23:35.416,544, -147, 536, -26, -9, -42, -7, -8, 12, 749, 85,G
2025-02-19 16:23:35.522,784, 106, 614, 13, -23, 15, -5, -7, 12, 849, 91,G
2025-02-19 16:23:35.623,845, 155, 583, -61, 64, 15, -5, -7, 10, 826, 65,G
2025-02-19 16:23:36.542,757, 23, 622, 1, -1, -5, -7, -9, 12, 745, 70,H
2025-02-19 16:23:36.640,752, 44, 643, 2, -3, -5, -7, -8, 11, 726, 74,H
2025-02-19 16:23:36.744,1023, 43, 667, 1, 0, -6, -6, -9, 9, 676, 86,H
2025-02-19 16:23:36.861,781, -217, 762, 20, -5, 22, -6, -11, 11, 644, 87,H
2025-02-19 16:23:36.962,896, 115, 640, -2, -1, 26, -5, -8, 11, 721, 89,H
