Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Force,IR_A,Letter
2025-02-19 13:19:40.967,47, 188, 979, -1, -1, 0, -1, -1, 0, 0, 12,noise
2025-02-19 13:19:41.060,63, 183, 965, -2, -7, 0, 0, 1, 2, 0, 11,noise
2025-02-19 13:19:41.166,46, 194, 964, -2, -2, 0, 0, 0, 1, 0, 12,noise
2025-02-19 13:19:41.277,40, 193, 974, 0, 0, -1, -1, 0, 0, 0, 11,noise
2025-02-19 13:19:41.381,49, 196, 977, -1, 0, 0, 0, 0, 2, 0, 12,noise
2025-02-19 13:19:41.490,59, 192, 979, -1, 0, -1, -1, -1, 1, 0, 11,noise
2025-02-19 13:19:41.595,44, 196, 975, -1, -2, 0, 1, 1, 1, 0, 12,noise
2025-02-19 13:19:41.702,58, 192, 969, -2, -3, -1, 0, -1, 2, 0, 12,noise
2025-02-19 13:19:41.802,41, 198, 976, -1, -1, 0, -1, 2, 0, 0, 12,noise
2025-02-19 13:19:41.913,44, 195, 992, -1, 0, -1, -1, 0, 0, 0, 12,noise
2025-02-19 13:19:42.022,45, 192, 973, -1, -3, 0, -1, -1, 2, 0, 12,noise
2025-02-19 13:19:42.133,45, 193, 974, -1, -1, 0, -1, 2, 1, 0, 9,noise
2025-02-19 13:19:42.239,41, 188, 976, -1, -1, 0, -2, 1, 1, 0, 8,noise
2025-02-19 13:19:42.345,45, 193, 980, -1, -1, -1, -2, -2, 2, 0, 6,noise
2025-02-19 13:19:42.452,48, 193, 974, -1, -1, -1, 1, 2, 1, 0, 7,noise
2025-02-19 13:19:42.552,-65, 167, 960, 50, 5, -2, -1, 0, 1, 0, 7,noise
2025-02-19 13:19:42.663,41, 249, 973, 18, 3, 11, -3, 0, 1, 0, 8,noise
2025-02-19 13:19:42.779,18, 212, 1019, -88, -27, -74, -1, -2, 1, 0, 8,noise
2025-02-19 13:19:42.886,41, 201, 1012, -74, -22, -47, -2, 0, 1, 0, 8,noise
2025-02-19 13:19:42.993,-2, 145, 979, -21, -19, -94, -2, -3, 1, 0, 8,noise
2025-02-19 13:19:43.104,-23, 231, 1167, -93, -14, -47, -4, -1, 2, 0, 8,noise
2025-02-19 13:19:43.206,51, 43, 994, -143, -50, -43, -7, 4, 5, 0, 12,noise
2025-02-19 13:19:43.313,211, -168, 854, -75, -37, -22, -11, 7, 9, 0, 15,noise
2025-02-19 13:19:43.423,253, -173, 854, -27, 7, -5, -11, 11, 13, 0, 18,noise
2025-02-19 13:19:43.534,253, -236, 907, 1, -14, -13, -12, 13, 14, 0, 20,noise
2025-02-19 13:19:43.640,301, -259, 956, 30, -34, -27, -13, 12, 14, 0, 18,noise
2025-02-19 13:19:43.745,432, -264, 833, -17, -13, -26, -13, 9, 18, 0, 15,noise
2025-02-19 13:19:43.853,365, -95, 919, 37, -46, -19, -14, 7, 15, 0, 14,noise
2025-02-19 13:19:43.960,532, -43, 893, 16, -16, -17, -17, 8, 17, 0, 12,noise
2025-02-19 13:19:44.065,530, -142, 834, 8, -30, -8, -17, 6, 17, 0, 15,noise
2025-02-19 13:19:44.176,639, -50, 779, -52, -56, -55, -18, 4, 20, 0, 21,noise
2025-02-19 13:19:44.278,590, -66, 755, -3, 51, -7, -20, 4, 21, 0, 19,noise
2025-02-19 13:19:44.388,600, -66, 727, 20, -17, -26, -18, 3, 20, 0, 16,noise
2025-02-19 13:19:44.495,575, -27, 796, 35, -37, 0, -20, 3, 20, 0, 23,noise
2025-02-19 13:19:44.602,684, 128, 513, -59, -40, -9, -19, 2, 22, 0, 29,noise
2025-02-19 13:19:44.709,633, -107, 795, 4, 15, -2, -20, 1, 21, 0, 31,noise
2025-02-19 13:19:44.812,665, -25, 766, -41, 5, -30, -20, 2, 22, 0, 26,noise
2025-02-19 13:19:44.922,594, -83, 742, -4, 4, -1, -21, 4, 23, 0, 22,noise
2025-02-19 13:19:45.033,628, -124, 788, -33, -15, -31, -20, 2, 22, 0, 27,noise
2025-02-19 13:19:45.135,612, -46, 746, 8, 4, 17, -22, 3, 23, 0, 27,noise
2025-02-19 13:19:45.245,613, -70, 780, 19, -8, 10, -20, 3, 24, 0, 28,noise
2025-02-19 13:19:45.352,615, -66, 784, -3, -3, 15, -21, 1, 23, 1, 29,noise
2025-02-19 13:19:45.459,618, -90, 764, -5, -2, 4, -19, 2, 22, 60, 28,noise
2025-02-19 13:19:45.569,621, -65, 775, 6, -8, -8, -19, 2, 25, 357, 30,noise
2025-02-19 13:19:45.672,644, -51, 730, -6, -20, 8, -20, 2, 23, 610, 31,noise
2025-02-19 13:19:45.782,646, -65, 735, 1, 1, -5, -20, 2, 23, 651, 31,noise
2025-02-19 13:19:45.889,827, -17, 749, -8, 8, 0, -21, 1, 22, 498, 31,noise
2025-02-19 13:19:45.995,663, -29, 745, 2, 8, 10, -19, 2, 22, 154, 29,noise
2025-02-19 13:19:46.102,688, -83, 778, 2, -13, 4, -21, 2, 25, 0, 35,noise
2025-02-19 13:19:46.202,567, -42, 736, -7, 1, -7, -20, 1, 23, 0, 33,noise
2025-02-19 13:19:46.312,749, -19, 793, 19, -1, -15, -21, 2, 22, 0, 44,noise
2025-02-19 13:19:46.426,619, -36, 781, 3, -3, -4, -21, 1, 25, 0, 44,noise
2025-02-19 13:19:46.532,716, -5, 739, -17, -16, 12, -22, 1, 23, 0, 53,noise
2025-02-19 13:19:46.638,655, -114, 725, 3, 0, 23, -21, 1, 25, 48, 48,noise
2025-02-19 13:19:46.744,713, 9, 616, 0, -59, -23, -21, 4, 27, 347, 42,noise
2025-02-19 13:19:46.856,585, -174, 752, -1, -8, -5, -21, 2, 26, 622, 66,noise
2025-02-19 13:19:46.962,757, -97, 635, 5, -16, -2, -22, 5, 28, 755, 88,noise
2025-02-19 13:19:47.072,664, -176, 729, 32, 26, 22, -23, 2, 28, 698, 60,noise
2025-02-19 13:19:47.179,692, -105, 713, 14, 8, -14, -22, 5, 24, 100, 46,noise
2025-02-19 13:19:47.282,721, -85, 709, 5, -7, -12, -21, 2, 24, 0, 55,noise
2025-02-19 13:19:47.392,703, -39, 707, -7, -9, -18, -21, 1, 26, 0, 69,noise
2025-02-19 13:19:47.499,685, -55, 700, -3, -1, -1, -21, 2, 27, 0, 80,noise
2025-02-19 13:19:47.602,701, -17, 710, -7, -5, 3, -20, 0, 27, 0, 80,noise
2025-02-19 13:19:47.711,717, -11, 682, -3, -4, 2, -21, 1, 25, 195, 81,noise
2025-02-19 13:19:47.822,732, -47, 705, -24, -4, 10, -23, 4, 26, 458, 82,noise
2025-02-19 13:19:47.928,668, -102, 697, -6, 13, 13, -22, 4, 25, 502, 59,noise
2025-02-19 13:19:48.032,750, -81, 681, 2, -16, -10, -20, 3, 24, 651, 64,noise
