Timestamp,Acc_X,Acc_Y,Acc_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z,Letter
2025-01-23 15:25:41.137,31, -12, 998, -1, -1, -1, -8, -1, -3,b
2025-01-23 15:25:41.243,36, -8, 993, -1, -1, -1, -5, -1, -5,b
2025-01-23 15:25:41.350,33, -16, 999, -1, -1, -1, -5, -1, -4,b
2025-01-23 15:25:41.456,38, -11, 1004, -1, -1, -1, -6, 1, -4,b
2025-01-23 15:25:41.559,35, -7, 999, -1, -1, 0, -5, 0, -5,b
2025-01-23 15:25:41.669,35, -13, 1000, -1, -1, 0, -6, -2, -5,b
2025-01-23 15:25:41.772,38, -8, 996, -1, -1, 0, -7, 0, -4,b
2025-01-23 15:25:41.882,33, -13, 1000, -1, -1, -1, -7, -1, -3,b
2025-01-23 15:25:41.989,31, -10, 994, -1, -1, -1, -5, -1, -5,b
2025-01-23 15:25:42.095,35, -16, 997, -1, -1, 0, -7, 1, -4,b
2025-01-23 15:25:42.202,34, -11, 1000, -1, -1, 0, -6, -1, -3,b
2025-01-23 15:25:42.308,36, -11, 997, -1, -1, 0, -5, -1, -4,b
2025-01-23 15:25:42.415,34, -11, 1000, -1, -1, -1, -5, -1, -5,b
2025-01-23 15:25:42.525,33, -12, 1000, -1, -1, -1, -6, -1, -4,b
2025-01-23 15:25:42.628,30, -10, 1000, -1, -1, 0, -5, 0, -4,b
2025-01-23 15:25:42.734,36, -9, 1003, -1, -1, -1, -6, 0, -3,b
2025-01-23 15:25:42.841,32, -4, 999, -1, -1, -1, -6, 0, -2,b
2025-01-23 15:25:42.947,34, -15, 998, -1, -1, 0, -6, -1, -4,b
2025-01-23 15:25:43.054,34, -9, 998, -1, -1, -1, -4, 0, -6,b
2025-01-23 15:25:43.160,37, -8, 996, -1, -1, 0, -6, 0, -3,b
2025-01-23 15:25:43.267,35, -8, 1001, -1, -1, 0, -5, 0, -3,b
2025-01-23 15:25:43.373,33, -14, 995, -1, -1, -1, -5, 0, -5,b
2025-01-23 15:25:43.480,35, -20, 998, -1, -1, -1, -7, 0, -3,b
2025-01-23 15:25:43.590,36, -12, 999, -1, -1, -1, -5, -1, -5,b
